rank,importance,opcode
0,0.8465594,calldatasize
1,0.83654684,not
2,0.79478323,lt
3,0.7666706,log3
4,0.76491714,codecopy
5,0.67222893,or
6,0.6692335,push28
7,0.6249135,returndatacopy
8,0.6140435,push5
9,0.60881895,log4
10,0.5929599,push8
11,0.571417,dup10
12,0.56703,address
13,0.5601095,push16
14,0.5476297,dup5
15,0.5358706,unknown_0xfe
16,0.52987593,sstore
17,0.52105874,slt
18,0.50820935,gt
19,0.49923676,caller
20,0.4929666,returndatasize
21,0.48281896,dup14
22,0.47901255,swap3
23,0.4642421,stop
24,0.44690692,call
25,0.43373874,gasprice
26,0.4172457,swap6
27,0.4125515,dup12
28,0.40763545,push29
29,0.39130205,push6
30,0.37621728,swap5
31,0.36690715,dup8
32,0.3580541,push4
33,0.3323703,dup13
34,0.3128057,create2
35,0.30684832,dup6
36,0.3031458,delegatecall
37,0.29059514,push14
38,0.2832246,swap4
39,0.2792179,callvalue
40,0.27448538,push32
41,0.25831056,iszero
42,0.24912164,push12
43,0.24753016,mul
44,0.24581411,dup7
45,0.2393953,balance
46,0.23791763,push10
47,0.23598586,sub
48,0.23351248,sha3
49,0.22925623,div
50,0.22270457,dup16
51,0.22222455,unknown_0xc8
52,0.22163562,unknown_0x49
53,0.21946248,push20
54,0.21315132,swap7
55,0.21215445,addmod
56,0.20668307,unknown_0xe2
57,0.20170087,gas
58,0.19843447,unknown_0xcb
59,0.19674376,mod
60,0.19654554,unknown_0xce
61,0.19599338,unknown_0xef
62,0.19506261,calldataload
63,0.19339097,dup11
64,0.18801533,mulmod
65,0.18658163,unknown_0xc1
66,0.18501133,shl
67,0.18274467,unknown_0x5f
68,0.18084213,invalid_0x76
69,0.17623141,mstore
70,0.17114222,unknown_0x4d
71,0.1675191,dup15
72,0.16690873,push24
73,0.16613151,push19
74,0.1653017,unknown_0xd
75,0.16455334,mload
76,0.16425723,mstore8
77,0.16125049,invalid_0x7c
78,0.15842222,push31
79,0.15755782,unknown_0x29
80,0.15500306,swap10
